lattitude	longitude	climateTYpe
-24.25	148.25	BSh
-24.75	148.25	BSh
-25.25	148.25	BSh
-25.75	148.25	BSh
-26.25	148.25	BSh
-26.75	148.25	Cfa
-27.25	148.25	BSh
-27.75	148.25	BSh
-28.25	148.25	BSh
-28.75	148.25	BSh
-29.25	148.25	BSh
-29.75	148.25	BSh
-30.25	148.25	BSh
-30.75	148.25	BSh
-31.25	148.25	Cfa
-31.75	148.25	Cfa
-32.25	148.25	Cfa
-32.75	148.25	Cfa
-33.25	148.25	Cfa
-33.75	148.25	Cfa
-34.25	148.25	Cfa
-34.75	148.25	Cfa
-35.25	148.25	Cfb
-35.75	148.25	Cfb
-36.25	148.25	Cfb
-36.75	148.25	Cfb
-37.25	148.25	Cfb
-37.75	148.25	Cfb
-40.25	148.25	Cfb
-41.25	148.25	Cfb
-41.75	148.25	Cfb
-23.25	148.75	BSh
-23.75	148.75	BSh
-24.25	148.75	BSh
-24.75	148.75	BSh
-25.25	148.75	BSh
-25.75	148.75	BSh
-26.25	148.75	BSh
-26.75	148.75	Cfa
-27.25	148.75	BSh
-27.75	148.75	BSh
-28.25	148.75	BSh
-28.75	148.75	BSh
-29.25	148.75	BSh
-29.75	148.75	BSh
-30.25	148.75	Cfa
-30.75	148.75	Cfa
-31.25	148.75	Cfa
-31.75	148.75	Cfa
-32.25	148.75	Cfa
-32.75	148.75	Cfa
-33.25	148.75	Cfa
-33.75	148.75	Cfa
-34.25	148.75	Cfb
-34.75	148.75	Cfb
-35.25	148.75	Cfb
-35.75	148.75	Cfb
-36.25	148.75	Cfb
-36.75	148.75	Cfb
-37.25	148.75	Cfb
-37.75	148.75	Cfb
-23.25	149.25	BSh
-23.75	149.25	BSh
-24.25	149.25	BSh
-24.75	149.25	BSh
-25.25	149.25	Cfa
-25.75	149.25	BSh
-26.25	149.25	BSh
-26.75	149.25	Cfa
-27.25	149.25	Cfa
-27.75	149.25	BSh
-28.25	149.25	BSh
-28.75	149.25	BSh
-29.25	149.25	BSh
-29.75	149.25	Cfa
-30.25	149.25	Cfa
-30.75	149.25	Cfa
-31.25	149.25	Cfa
-31.75	149.25	Cfa
-32.25	149.25	Cfa
-32.75	149.25	Cfa
-33.25	149.25	Cfb
-33.75	149.25	Cfb
-34.25	149.25	Cfb
-34.75	149.25	Cfb
-35.25	149.25	Cfb
-35.75	149.25	Cfb
-36.25	149.25	Cfb
-36.75	149.25	Cfb
-37.25	149.25	Cfb
-37.75	149.25	Cfb
-23.25	149.75	Cfa
-23.75	149.75	BSh
-24.25	149.75	BSh
-24.75	149.75	BSh
-25.25	149.75	BSh
-25.75	149.75	BSh
-26.25	149.75	BSh
-26.75	149.75	Cfa
-27.25	149.75	Cfa
-27.75	149.75	Cfa
-28.25	149.75	Cfa
-28.75	149.75	Cfa
-29.25	149.75	Cfa
-29.75	149.75	Cfa
-30.25	149.75	Cfa
-30.75	149.75	Cfa
-31.25	149.75	Cfa
-31.75	149.75	Cfa
-32.25	149.75	Cfa
-32.75	149.75	Cfa
-33.25	149.75	Cfb
-33.75	149.75	Cfb
-34.25	149.75	Cfb
-34.75	149.75	Cfb
-35.25	149.75	Cfb
-35.75	149.75	Cfb
-36.25	149.75	Cfb
-36.75	149.75	Cfb
-37.25	149.75	Cfb
-23.25	150.25	Cfa
-23.75	150.25	Cfa
-24.25	150.25	Cfa
-24.75	150.25	BSh
-25.25	150.25	BSh
-25.75	150.25	BSh
-26.25	150.25	BSh
-26.75	150.25	BSh
-27.25	150.25	Cfa
-27.75	150.25	Cfa
-28.25	150.25	Cfa
-28.75	150.25	Cfa
-29.25	150.25	Cfa
-29.75	150.25	Cfa
-30.25	150.25	Cfa
-30.75	150.25	Cfa
-31.25	150.25	Cfa
-31.75	150.25	Cfa
-32.25	150.25	Cfa
-32.75	150.25	Cfb
-33.25	150.25	Cfb
-33.75	150.25	Cfb
-34.25	150.25	Cfb
-34.75	150.25	Cfb
-35.25	150.25	Cfb
-23.25	150.75	Cfa
-23.75	150.75	Cfa
-24.25	150.75	Cfa
-24.75	150.75	BSh
-25.25	150.75	BSh
-25.75	150.75	BSh
-26.25	150.75	BSh
-26.75	150.75	Cfa
-27.25	150.75	Cfa
-27.75	150.75	Cfa
-28.25	150.75	Cfa
-28.75	150.75	Cfa
-29.25	150.75	Cfa
-29.75	150.75	Cfa
-30.25	150.75	Cfa
-30.75	150.75	Cfa
-31.25	150.75	Cfa
-31.75	150.75	Cfb
-32.25	150.75	Cfa
-32.75	150.75	Cfa
-33.25	150.75	Cfa
-33.75	150.75	Cfa
-34.25	150.75	Cfb
-34.75	150.75	Cfb
-23.75	151.25	Cfa
-24.25	151.25	Cfa
-24.75	151.25	Cfa
-25.25	151.25	Cfa
-25.75	151.25	BSh
-26.25	151.25	Cfa
-26.75	151.25	Cfa
-27.25	151.25	BSh
-27.75	151.25	Cfa
-28.25	151.25	Cfa
-28.75	151.25	Cfa
-29.25	151.25	Cfa
-29.75	151.25	Cfb
-30.25	151.25	Cfa
-30.75	151.25	Cfb
-31.25	151.25	Cfb
-31.75	151.25	Cfb
-32.25	151.25	Cfa
-32.75	151.25	Cfa
-33.25	151.25	Cfb
-33.75	151.25	Cfa
-24.25	151.75	Cfa
-24.75	151.75	Cfa
-25.25	151.75	Cfa
-25.75	151.75	Cfa
-26.25	151.75	Cfa
-26.75	151.75	Cfa
-27.25	151.75	Cfa
-27.75	151.75	Cfa
-28.25	151.75	Cfa
-28.75	151.75	Cfa
-29.25	151.75	Cfb
-29.75	151.75	Cfb
-30.25	151.75	Cfb
-30.75	151.75	Cfb
-31.25	151.75	Cfb
-31.75	151.75	Cfb
-32.25	151.75	Cfb
-32.75	151.75	Cfa
-24.75	152.25	Cfa
-25.25	152.25	Cfa
-25.75	152.25	Cfa
-26.25	152.25	Cfa
-26.75	152.25	Cfa
-27.25	152.25	Cfa
-27.75	152.25	Cfa
-28.25	152.25	Cfa
-28.75	152.25	Cfb
-29.25	152.25	Cfb
-29.75	152.25	Cfa
-30.25	152.25	Cfb
-30.75	152.25	Cfa
-31.25	152.25	Cfb
-31.75	152.25	Cfb
-32.25	152.25	Cfa
-25.75	152.75	Cfa
-26.25	152.75	Cfa
-26.75	152.75	Cfa
-27.25	152.75	Cfa
-27.75	152.75	Cfa
-28.25	152.75	Cfa
-28.75	152.75	Cfa
-29.25	152.75	Cfa
-29.75	152.75	Cfa
-30.25	152.75	Cfb
-30.75	152.75	Cfa
-31.25	152.75	Cfa
-31.75	152.75	Cfa
-24.75	153.25	Cfa
-27.75	153.25	Cfa
-28.25	153.25	Cfa
-28.75	153.25	Cfa
-29.25	153.25	Cfa
-29.75	153.25	Cfa
